city,year,air_quality_rating
<U+021A>e<U+021B>chea,2018,Moderate
<U+021A>e<U+021B>chea,2019,Moderate
<U+021A>e<U+021B>chea,2021,Moderate
A Coruña,2013,Moderate
A Coruña,2014,Moderate
A Coruña,2015,Moderate
A Coruña,2016,Moderate
A Coruña,2017,Moderate
A Coruña,2018,Moderate
A Coruña,2019,Moderate
A Coruña,2020,Moderate
A Coruña,2021,Moderate
A la shan zuo qi,2015,Moderate
A la shan zuo qi,2016,Moderate
Aachen,2010,Moderate
Aachen,2013,Moderate
Aachen,2014,Moderate
Aachen,2015,Moderate
Aachen,2016,Moderate
Aachen,2017,Good
Aachen,2018,Moderate
Aachen,2019,Moderate
Aachen,2020,Good
Aachen,2021,Good
Aadorf,2010,Moderate
Aadorf,2013,Moderate
Aadorf,2015,Moderate
Aadorf,2016,Moderate
Aadorf,2017,Moderate
Aadorf,2018,Moderate
Aadorf,2019,Moderate
Aalborg,2010,Moderate
Aalborg,2013,Moderate
Aalborg,2014,Moderate
Aalborg,2015,Moderate
Aalborg,2016,Moderate
Aalborg,2017,Moderate
Aalborg,2018,Moderate
Aalborg,2019,Moderate
Aalborg,2020,Moderate
Aalen,2010,Moderate
Aalen,2013,Moderate
Aalen,2014,Moderate
Aalen,2015,Moderate
Aalen,2016,Moderate
Aalen,2017,Moderate
Aalen,2018,Moderate
Aalen,2019,Moderate
Aalen,2020,Moderate
Aalen,2021,Good
Aalesund,2010,Moderate
Aamjiwnaang,2018,Moderate
Aamjiwnaang,2019,Moderate
Aamjiwnaang,2020,Moderate
Aarau,2018,Moderate
Aarau,2019,Good
Aarau,2020,Good
Aarau,2021,Good
Aarhus,2013,Moderate
Aarschot,2010,Moderate
Aarschot,2013,Moderate
Aarschot,2014,Moderate
Aarschot,2015,Moderate
Aarschot,2016,Moderate
Aarschot,2017,Moderate
Aarschot,2018,Moderate
Aarschot,2019,Moderate
Aarschot,2020,Good
Aba,2017,Moderate
Aba,2018,Moderate
Aba Prefecture,2020,Moderate
Aba zangzuqiangzuzizhizhou,2018,Moderate
Aba zangzuqiangzuzizhizhou,2019,Moderate
Abadan,2016,Moderate
Abadan,2019,Moderate
Abadan,2020,Moderate
Abanto y ciervana/abanto zierb,2010,Moderate
Abasolo,2018,Moderate
Abastumani,2014,Moderate
Abbadia Cerreto,2013,Moderate
Abbadia Cerreto,2014,Moderate
Abbadia Cerreto,2015,Moderate
Abbadia Cerreto,2016,Moderate
Abbadia Cerreto,2017,Moderate
Abbadia Cerreto,2018,Moderate
Abbadia Cerreto,2019,Moderate
Abbadia Cerreto,2020,Moderate
Abbadia Cerreto,2021,Moderate
Abbadia cerreto,2013,Moderate
Abbotsford,2013,Moderate
Abbotsford,2015,Moderate
Abbotsford,2016,Good
Abbotsford,2017,Good
Abbotsford,2018,Good
Abbotsford,2019,Good
Abbotsford,2020,Moderate
Aberdeen,2010,Moderate
Aberdeen,2013,Moderate
Aberdeen City,2013,Good
Aberdeen City,2014,Good
Aberdeen City,2015,Good
Aberdeen City,2016,Good
Aberdeen City,2017,Good
Aberdeen City,2018,Good
Aberdeen City,2019,Good
Aberdeen City,2020,Good
"Aberdeen, SD",2010,Moderate
"Aberdeen, SD",2011,Moderate
"Aberdeen, SD",2012,Moderate
"Aberdeen, SD",2013,Moderate
"Aberdeen, SD",2014,Moderate
"Aberdeen, SD",2015,Moderate
"Aberdeen, SD",2016,Moderate
"Aberdeen, SD",2017,Moderate
"Aberdeen, SD",2018,Moderate
"Aberdeen, SD",2019,Moderate
Abha region,2019,Moderate
Abha region,2020,Moderate
Abha region,2021,Moderate
Abha region,2022,Moderate
Abos,2010,Moderate
Abos,2013,Moderate
Abos,2014,Moderate
Abos,2015,Moderate
Abos,2016,Moderate
Abos,2017,Moderate
Abos,2018,Moderate
Abos,2019,Moderate
Abos,2020,Moderate
Abos,2021,Moderate
Abu Dhabi,2021,Moderate
Abu dhabi,2011,Moderate
Abu dhabi,2012,Moderate
Abu dhabi,2013,Moderate
Abu dhabi,2014,Moderate
Abu dhabi,2015,Moderate
Abu dhabi,2017,Moderate
Abu dhabi,2018,Moderate
Abu dhabi,2019,Moderate
Abu dhabi,2020,Moderate
Accra,2012,Moderate
Accra,2013,Moderate
Accra,2014,Moderate
Accra,2015,Moderate
Acebedo,2013,Moderate
Acebedo,2014,Moderate
Acebedo,2015,Moderate
Acebedo,2016,Moderate
Acebedo,2017,Moderate
Acebedo,2018,Moderate
Acebedo,2019,Moderate
Acebedo,2020,Moderate
Acebedo,2021,Moderate
Acerra,2015,Moderate
Acerra,2016,Moderate
Acerra,2017,Moderate
Acerra,2018,Moderate
Acerra,2019,Moderate
Acerra,2020,Moderate
Acerra,2021,Moderate
Acheng qu,2018,Moderate
Acheng qu,2019,Moderate
Acolman,2010,Moderate
Acolman,2011,Moderate
Acolman,2012,Moderate
Acolman,2013,Moderate
Acolman,2014,Moderate
Acolman,2015,Moderate
Acolman,2016,Moderate
Acolman,2017,Moderate
Acquapendente,2013,Good
Acquapendente,2014,Good
Acquapendente,2015,Good
Acquapendente,2016,Good
Acquapendente,2017,Good
Acquapendente,2018,Good
Acquapendente,2019,Good
Acquapendente,2020,Good
Acquapendente,2021,Good
Acri,2015,Moderate
Acri,2016,Moderate
Acri,2017,Moderate
Acri,2018,Moderate
Acri,2019,Moderate
Acri,2020,Moderate
Acri,2021,Moderate
Adalar,2016,Moderate
Adalar,2017,Moderate
Adalar,2018,Moderate
Adalar,2019,Moderate
Adalar,2020,Moderate
Adana,2010,Moderate
Adana,2015,Moderate
Adana,2016,Moderate
Adana,2017,Moderate
Adana,2018,Moderate
Adana,2019,Moderate
Adana,2020,Moderate
Adapazari,2015,Moderate
Adapazari,2016,Moderate
Adapazari,2017,Moderate
Adapazari,2018,Moderate
Adapazari,2019,Moderate
Adapazari,2020,Moderate
Addis Ababa,2016,Moderate
Addis Ababa,2017,Moderate
Addis Ababa,2018,Moderate
Addis Ababa,2019,Moderate
Adelaide,2012,Good
Adelaide,2013,Good
Adelaide,2014,Good
Adelaide,2015,Good
Adelaide,2016,Good
Adelaide,2017,Good
Adelaide,2018,Good
Adelaide,2019,Moderate
Ademuz,2015,Moderate
Ademuz,2016,Moderate
Ademuz,2017,Moderate
Ademuz,2018,Moderate
Ademuz,2019,Moderate
Ademuz,2020,Moderate
Ademuz,2021,Moderate
Adilabad,2020,Moderate
Adityapur,2015,Moderate
Adiyaman,2010,Moderate
Adiyaman,2015,Moderate
Adiyaman,2016,Moderate
Adiyaman,2017,Moderate
Adiyaman,2018,Moderate
Adiyaman,2019,Moderate
Adiyaman,2020,Moderate
Adria,2010,Moderate
Adria,2015,Moderate
Adria,2016,Moderate
Adria,2017,Moderate
Adria,2018,Moderate
Adria,2019,Moderate
Adria,2020,Moderate
Adria,2021,Moderate
"Adrian, MI",2010,Moderate
"Adrian, MI",2011,Moderate
"Adrian, MI",2012,Moderate
"Adrian, MI",2013,Moderate
"Adrian, MI",2014,Moderate
"Adrian, MI",2015,Moderate
"Adrian, MI",2016,Moderate
"Adrian, MI",2017,Moderate
"Adrian, MI",2018,Moderate
"Adrian, MI",2019,Moderate
"Adrian, MI",2020,Moderate
"Adrian, MI",2021,Moderate
Afa,2013,Moderate
Afa,2014,Moderate
Afa,2015,Moderate
Afa,2016,Moderate
Afa,2017,Moderate
Afa,2018,Moderate
Afa,2019,Moderate
Afa,2020,Moderate
Afa,2021,Moderate
Afula,2012,Moderate
Afula,2013,Moderate
Afula,2014,Moderate
Afula,2015,Moderate
Afula,2016,Moderate
Afula,2017,Moderate
Afula,2018,Moderate
Afula,2019,Moderate
Afula,2020,Moderate
Afula,2021,Moderate
Afyon,2010,Moderate
Afyonkarahisar,2015,Moderate
Afyonkarahisar,2016,Moderate
Afyonkarahisar,2017,Moderate
Afyonkarahisar,2018,Moderate
Afyonkarahisar,2019,Moderate
Afyonkarahisar,2020,Moderate
Agartala,2020,Moderate
Agassiz,2015,Moderate
Agassiz,2016,Moderate
Agassiz,2017,Moderate
Agassiz,2018,Moderate
Agassiz,2019,Moderate
Agassiz,2020,Moderate
Agen,2010,Moderate
Agen,2013,Moderate
Agen,2014,Moderate
Agen,2015,Moderate
Agen,2016,Moderate
Agen,2017,Moderate
Agen,2018,Moderate
Agia marina,2013,Moderate
Agia paraskevi,2010,Moderate
Agip petroli-ilva,2013,Moderate
Agost,2015,Moderate
Agost,2016,Moderate
Agost,2017,Moderate
Agost,2018,Moderate
Agost,2019,Moderate
Agost,2020,Moderate
Agost,2021,Moderate
Agra,2010,Moderate
Agra,2011,Moderate
Agra,2012,Moderate
Agra,2013,Moderate
Agra,2014,Moderate
Agra,2015,Moderate
Agra,2016,Moderate
Agra,2017,Moderate
Agra,2018,Moderate
Agra,2019,Moderate
Agra,2020,Moderate
Agri,2010,Moderate
Agri,2015,Moderate
Agri,2016,Moderate
Agri,2017,Moderate
Agri,2018,Moderate
Agri,2019,Moderate
Agri,2020,Moderate
Agrigento,2017,Good
Agrigento,2018,Good
Agrigento,2019,Good
Agrigento,2020,Good
Agrigento,2021,Good
Agrínio,2020,Moderate
Agrínio,2021,Moderate
Agua prieta,2010,Moderate
Aguascalientes,2018,Moderate
Aguimes,2010,Moderate
Aguimes,2013,Moderate
Agurain / Salvatierra,2014,Moderate
Agurain / Salvatierra,2015,Moderate
Agurain / Salvatierra,2016,Moderate
Agurain / Salvatierra,2017,Moderate
Agurain / Salvatierra,2018,Moderate
Agurain / Salvatierra,2019,Moderate
Agurain / Salvatierra,2020,Moderate
Agurain / Salvatierra,2021,Good
Agva,2015,Moderate
Agva,2016,Moderate
Agva,2017,Moderate
Agva,2018,Moderate
Agva,2019,Moderate
Agva,2020,Moderate
Agüimes,2013,Moderate
Agüimes,2014,Good
Agüimes,2015,Moderate
Agüimes,2016,Moderate
Agüimes,2017,Moderate
Agüimes,2018,Moderate
Agüimes,2019,Moderate
Agüimes,2020,Moderate
Agüimes,2021,Moderate
Ahisamakh,2016,Moderate
Ahisamakh,2017,Moderate
Ahisamakh,2019,Moderate
Ahisamakh,2020,Moderate
Ahisamakh,2021,Moderate
Ahmadabad,2011,Moderate
Ahmadabad,2012,Moderate
Ahmadabad,2013,Moderate
Ahmadi Governorate,2021,Poor
Ahmadi governorate,2017,Poor
Ahmadi governorate,2019,Moderate
Ahmadi governorate,2020,Moderate
Ahmedabad,2012,Moderate
Ahmedabad,2015,Moderate
Ahmedabad,2017,Moderate
Ahmedabad,2019,Moderate
Ahmedabad,2020,Moderate
Ahvaz,2010,Moderate
Ahvaz,2011,Moderate
Ahvaz,2012,Moderate
Ahvaz,2013,Moderate
Ahvaz,2016,Moderate
Ahvaz,2017,Moderate
Ahvaz,2019,Moderate
Ahvaz,2020,Moderate
Aia,2010,Moderate
Aia,2013,Moderate
Aia,2014,Moderate
Aia,2015,Good
Aia,2016,Good
Aia,2017,Moderate
Aia,2018,Moderate
Aia,2019,Moderate
Aia,2020,Good
Aia,2021,Good
Aigle,2011,Moderate
Aigle,2012,Moderate
Aigle,2013,Moderate
Aigle,2014,Moderate
Aigle,2015,Moderate
Aigle,2016,Moderate
Aigle,2017,Moderate
Aigle,2018,Moderate
Aigle,2019,Good
Aigle,2020,Good
Aigle,2021,Good
Aiguafreda,2018,Moderate
Aiguafreda,2019,Moderate
Aiguafreda,2020,Moderate
Aiguafreda,2021,Moderate
Aihui qu,2015,Moderate
Aihui qu,2016,Moderate
Aihui qu,2018,Moderate
Aihui qu,2019,Moderate
Aimin qu,2018,Moderate
Aimin qu,2019,Moderate
Airdrie,2018,Moderate
Airdrie,2019,Moderate
Airdrie,2020,Moderate
Airolo,2017,Moderate
Airolo,2018,Good
Airolo,2019,Good
Airolo,2020,Good
Airolo,2021,Good
Airvault,2010,Moderate
Airvault,2013,Moderate
Airvault,2014,Moderate
Airvault,2015,Moderate
Airvault,2016,Moderate
Airvault,2017,Moderate
Airvault,2018,Moderate
Airvault,2019,Moderate
Airvault,2020,Moderate
Airvault,2021,Moderate
Aix-en-Provence,2013,Moderate
Aix-en-Provence,2014,Moderate
Aix-en-Provence,2015,Moderate
Aix-en-Provence,2016,Moderate
Aix-en-Provence,2017,Moderate
Aix-en-Provence,2018,Moderate
Aix-en-Provence,2019,Moderate
Aix-en-Provence,2020,Good
Aix-en-Provence,2021,Good
Aix-en-provence,2010,Moderate
Aizawal,2011,Moderate
Aizawal,2012,Moderate
Aizawal,2013,Moderate
Aizawal,2014,Moderate
Aizawal,2015,Moderate
Aizawl,2011,Moderate
Aizawl,2012,Moderate
Aizawl,2013,Moderate
Aizawl,2014,Moderate
Aizawl,2015,Moderate
Aizawl,2020,Moderate
Aizwal,2015,Moderate
Aizwal,2016,Moderate
Ajaccio,2010,Moderate
Ajaccio,2013,Moderate
Ajaccio,2014,Moderate
Ajaccio,2015,Moderate
Ajaccio,2016,Moderate
Ajaccio,2017,Moderate
Ajaccio,2018,Moderate
Ajaccio,2019,Good
Ajaccio,2020,Good
Ajaccio,2021,Moderate
Ajka,2010,Moderate
Ajka,2013,Moderate
Ajka,2014,Moderate
Ajka,2015,Moderate
Ajka,2016,Moderate
Ajka,2017,Moderate
Ajka,2018,Moderate
Ajka,2019,Moderate
Ajka,2020,Moderate
Ajman,2017,Moderate
Ajman,2018,Moderate
Ajman,2019,Moderate
Ajman,2020,Moderate
Ajman,2021,Moderate
Ajmer,2017,Moderate
Akesu shi,2015,Moderate
Akesu shi,2016,Moderate
Akesu shi,2018,Moderate
Akesu shi,2019,Moderate
Akola,2011,Moderate
Akola,2012,Moderate
Akola,2013,Moderate
